system:index,mean_temp_NovApr_1991to2020,precip2022,precip2023,sampledate,surveyyear,temp2022,temp2023,treeholeid,.geo
00000000000000000000,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.01,"{""type"":""Point"",""coordinates"":[-121.94931046376666,37.70556098839719]}"
00000000000000000001,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.02,"{""type"":""Point"",""coordinates"":[-121.95049658464684,37.706243230858355]}"
00000000000000000002,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.03,"{""type"":""Point"",""coordinates"":[-121.951009381268,37.706314576475215]}"
00000000000000000003,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.04,"{""type"":""Point"",""coordinates"":[-121.95177634664918,37.70685412770269]}"
00000000000000000004,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.05,"{""type"":""Point"",""coordinates"":[-121.95272167607251,37.707206396685905]}"
00000000000000000005,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.06,"{""type"":""Point"",""coordinates"":[-121.95400589717593,37.707745947913374]}"
00000000000000000006,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.07,"{""type"":""Point"",""coordinates"":[-121.95463908952551,37.70791985285446]}"
00000000000000000007,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.08,"{""type"":""Point"",""coordinates"":[-121.95472381244554,37.70797782116815]}"
00000000000000000008,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.09,"{""type"":""Point"",""coordinates"":[-121.95681958994065,37.70852629059772]}"
00000000000000000009,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.10,"{""type"":""Point"",""coordinates"":[-121.95646732095746,37.70867790003354]}"
0000000000000000000a,10.956163438161214,364.9182909366209,993.4555797427893,11/12/21,2022,10.83236312866211,9.254511833190918,DUB.11,"{""type"":""Point"",""coordinates"":[-121.95110302239014,37.70695222792586]}"
0000000000000000000b,15.05638443628947,293.9006890207529,839.1393850668101,12/26/21,2022,15.873779296875,13.245615005493164,GP.03,"{""type"":""Point"",""coordinates"":[-118.2980112389609,34.11977041716763]}"
0000000000000000000c,14.770022741953532,389.2697878391773,886.9332779459655,12/31/21,2022,13.692708015441895,11.398504257202148,MC.01,"{""type"":""Point"",""coordinates"":[-118.72125127454979,34.09828646829212]}"
0000000000000000000d,14.554658349355062,375.3668884942308,790.9453774392605,12/31/21,2022,13.593855857849121,11.117744445800781,MC.02,"{""type"":""Point"",""coordinates"":[-118.72632573154864,34.10065871005254]}"
0000000000000000000e,14.770022741953532,389.2697878391773,886.9332779459655,12/31/21,2022,13.692708015441895,11.398504257202148,MC.03,"{""type"":""Point"",""coordinates"":[-118.72823868590056,34.099561771193414]}"
0000000000000000000f,14.770022741953532,389.2697878391773,886.9332779459655,12/31/21,2022,13.692708015441895,11.398504257202148,MC.04,"{""type"":""Point"",""coordinates"":[-118.72957195711552,34.099824858155564]}"
00000000000000000010,14.770022741953532,389.2697878391773,886.9332779459655,12/31/21,2022,13.692708015441895,11.398504257202148,MC.06,"{""type"":""Point"",""coordinates"":[-118.70555077974059,34.08461040536121]}"
00000000000000000011,14.770022741953532,389.2697878391773,886.9332779459655,12/31/21,2022,13.692708015441895,11.398504257202148,MC.07,"{""type"":""Point"",""coordinates"":[-118.70553294333638,34.0847932285044]}"
00000000000000000012,14.770022741953532,389.2697878391773,886.9332779459655,12/31/21,2022,13.692708015441895,11.398504257202148,MC.08,"{""type"":""Point"",""coordinates"":[-118.70605019905858,34.08536399343924]}"
00000000000000000013,14.770022741953532,389.2697878391773,886.9332779459655,12/31/21,2022,13.692708015441895,11.398504257202148,MC.09,"{""type"":""Point"",""coordinates"":[-118.70473476424782,34.08496267434444]}"
00000000000000000014,14.770022741953532,389.2697878391773,886.9332779459655,12/31/21,2022,13.692708015441895,11.398504257202148,MC.11,"{""type"":""Point"",""coordinates"":[-118.70849378643588,34.08366061683682]}"
00000000000000000015,14.770022741953532,389.2697878391773,886.9332779459655,12/31/21,2022,13.692708015441895,11.398504257202148,MC.13,"{""type"":""Point"",""coordinates"":[-118.70933209743393,34.085457634561365]}"
00000000000000000016,11.879880237579346,353.0751864332706,1157.4912698954577,1/17/22,2022,12.287508010864258,10.434059143066406,JR.01,"{""type"":""Point"",""coordinates"":[-122.23755567406351,37.407358605447996]}"
00000000000000000017,11.879880237579346,353.0751864332706,1157.4912698954577,1/17/22,2022,12.287508010864258,10.434059143066406,JR.03,"{""type"":""Point"",""coordinates"":[-122.23648994891174,37.40809881622286]}"
00000000000000000018,11.879880237579346,353.0751864332706,1157.4912698954577,1/17/22,2022,12.287508010864258,10.434059143066406,JR.04,"{""type"":""Point"",""coordinates"":[-122.23384124288596,37.40867404025876]}"
00000000000000000019,11.879880237579346,353.0751864332706,1157.4912698954577,1/17/22,2022,12.287508010864258,10.434059143066406,JR.05,"{""type"":""Point"",""coordinates"":[-122.23320805053639,37.4091199503641]}"
0000000000000000001a,11.879880237579346,353.0751864332706,1157.4912698954577,1/17/22,2022,12.287508010864258,10.434059143066406,JR.06,"{""type"":""Point"",""coordinates"":[-122.23284686335104,37.4092358869915]}"
0000000000000000001b,11.879880237579346,353.0751864332706,1157.4912698954577,1/17/22,2022,12.287508010864258,10.434059143066406,JR.10,"{""type"":""Point"",""coordinates"":[-122.23655683542755,37.411287073476075]}"
0000000000000000001c,11.879880237579346,353.0751864332706,1157.4912698954577,1/17/22,2022,12.287508010864258,10.434059143066406,JR.20,"{""type"":""Point"",""coordinates"":[-122.24073055401354,37.401900665758575]}"
0000000000000000001d,11.879880237579346,353.0751864332706,1157.4912698954577,1/17/22,2022,12.287508010864258,10.434059143066406,JR.22,"{""type"":""Point"",""coordinates"":[-122.24224218927067,37.4061323526583]}"
